set#,A,lambda_T,T,umax,alpha,kp1,kp2,d,kh,n,p,kt,sigma,lambda_A
1,1,2.406761043610921e-06,10.0,0,1000.0,1.8329807108324356,100.0,3.552631578947368,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
2,1,2.406761043610921e-06,10.0,0,1000.0,3.79269019073225,100.0,4.605263157894736,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
3,1,2.406761043610921e-06,10.0,0,1000.0,3.79269019073225,100.0,5.13157894736842,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
4,1,2.406761043610921e-06,10.0,0,1000.0,3.79269019073225,100.0,5.657894736842105,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
5,1,2.406761043610921e-06,10.0,0,1000.0,3.79269019073225,100.0,6.184210526315789,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
6,1,2.406761043610921e-06,10.0,0,1000.0,3.79269019073225,100.0,6.7105263157894735,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
7,1,2.406761043610921e-06,10.0,0,1000.0,7.847599703514611,100.0,7.2368421052631575,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
8,1,2.406761043610921e-06,10.0,0,1000.0,7.847599703514611,100.0,7.763157894736842,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
9,1,2.406761043610921e-06,10.0,0,1000.0,7.847599703514611,100.0,8.289473684210527,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
10,1,2.406761043610921e-06,10.0,0,1000.0,7.847599703514611,100.0,8.81578947368421,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
11,1,2.406761043610921e-06,10.0,0,1000.0,7.847599703514611,100.0,9.342105263157894,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
12,1,2.406761043610921e-06,10.0,0,1000.0,7.847599703514611,100.0,9.868421052631579,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
13,1,2.406761043610921e-06,10.0,0,1000.0,7.847599703514611,100.0,10.394736842105264,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
14,1,2.406761043610921e-06,10.0,0,1000.0,7.847599703514611,100.0,10.921052631578947,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
15,1,2.406761043610921e-06,10.0,0,1000.0,7.847599703514611,100.0,11.44736842105263,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
16,1,2.406761043610921e-06,10.0,0,1000.0,7.847599703514611,100.0,11.973684210526315,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
17,1,2.406761043610921e-06,10.0,0,1000.0,7.847599703514611,100.0,12.5,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
1,1,2.406761043610921e-06,10.0,0,1000.0,1.8329807108324356,100.0,3.223684210526316,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
2,1,2.406761043610921e-06,10.0,0,1000.0,1.8329807108324356,100.0,3.552631578947368,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
3,1,2.406761043610921e-06,10.0,0,1000.0,3.79269019073225,100.0,4.2105263157894735,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
4,1,2.406761043610921e-06,10.0,0,1000.0,3.79269019073225,100.0,4.539473684210526,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
5,1,2.406761043610921e-06,10.0,0,1000.0,3.79269019073225,100.0,4.868421052631579,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
6,1,2.406761043610921e-06,10.0,0,1000.0,3.79269019073225,100.0,5.197368421052632,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
7,1,2.406761043610921e-06,10.0,0,1000.0,3.79269019073225,100.0,5.526315789473683,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
8,1,2.406761043610921e-06,10.0,0,1000.0,3.79269019073225,100.0,5.855263157894736,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
9,1,2.406761043610921e-06,10.0,0,1000.0,3.79269019073225,100.0,6.184210526315789,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
10,1,2.406761043610921e-06,10.0,0,1000.0,3.79269019073225,100.0,6.513157894736842,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
11,1,2.406761043610921e-06,10.0,0,1000.0,3.79269019073225,100.0,6.842105263157895,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
12,1,2.406761043610921e-06,10.0,0,1000.0,3.79269019073225,100.0,7.171052631578947,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
13,1,2.406761043610921e-06,10.0,0,1000.0,7.847599703514611,100.0,7.171052631578947,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
14,1,2.406761043610921e-06,10.0,0,1000.0,7.847599703514611,100.0,7.5,2.0,1,0.09241962407465937,1.0,10.0,0.00011552453009332422
