"id"	"name"
"CPLX0-226[c]"	"crp"
"CPLX0-7797[c]"	"fnr"
"CPLX0-228[c]"	"argR"
"CPLX0-7671[c]"	"argP"
"CPLX0-8057[c]"	"glpR"
"MONOMER-54[c]"	"glpR"
"CPLX0-7751[c]"	"nsrR"
"CPLX0-8047[c]"	"nsrR"
"CPLX0-7689[c]"	"lldR"
"MONOMER0-183[c]"	"fhlA"
"CPLX0-7670[c]"	"argP"
"CPLX0-7541[c]"	"alaS"
"CPLX0-7735[c]"	"asnC"
"CPLX0-2781[c]"	"cysB"
"CPLX0-7714[c]"	"dsdC"
"CPLX0-8060[c]"	"gcvA"
"CPLX0-7796[c]"	"metJ"
"CPLX0-7752[c]"	"metR"
"MONOMER0-162[c]"	"tyrR"
"MONOMER0-163[c]"	"tyrR"
"CPLX-172[c]"	"araC"
"MONOMER0-155[c]"	"lrp"
"CPLX0-7639[c]"	"fur"
"CPLX0-7672[c]"	"mntR"
"CPLX0-8055[c]"	"acrR"
"MONOMER0-2201[c]"	"allR"
"CPLX0-8071--R[c]"	"allR"
"CPLX0-8071--S[c]"	"allR"
"CPLX0-7606[c]"	"iclR"
"MONOMER0-2482[c]"	"rpiR"
"CPLX-172[c]"	"araC"
"CPLX0-7734[c]"	"asrR"
"CPLX0-7736[c]"	"asrR"
"CPLX0-7739[c]"	"asrR"
"MONOMER0-49[c]"	"betI"
"MONOMER-48[c]"	"birA"
"MONOMER-2720[c]"	"cbl"
"PC00061[i]"	"cra"
"CPLX-127[i]"	"cra"
"CPLX-128[i]"	"cra"
"CPLX0-7708[c]"	"cueR"
"MONOMER0-164[c]"	"cynR"
"CPLX0-8051[c]"	"cytR"
"MONOMER-60[c]"	"rbsR"
"MONOMER0-160[c]"	"dnaA"
"MONOMER-51--3-KETO-ADIPYL-COA[c]"	"fadR--1"
"CPLX0-7650[c]"	"fucR"
"CPLX0-8083[c]"	"iscR"
"CPLX0-8069[c]"	"yqjI"
"MONOMER-52[c]"	"galR"
"MONOMER-53[c]"	"galS"
"MONOMER0-562[c]"	"glcC"
"MONOMER-55[c]"	"gntR"
"MONOMER-56[c]"	"srlR"
"CPLX0-7605[c]"	"iclR"
"MONOMER-59[c]"	"pdhR"
"MONOMER0-1301[c]"	"idnR"
"MONOMER0-159[i]"	"lacI"
"CPLX0-7749[c]"	"lsrR"
"MONOMER0-158[c]"	"malT"
"CPLX0-7710[c]"	"marR"
"MONOMER-58[c]"	"marR"
"MONOMER0-161[c]"	"melR"
"MONOMER0-1441[c]"	"mhpR"
"CPLX0-7707[c]"	"nikR"
"CPLX0-7678[c]"	"zntR"
"CPLX0-6[c]"	"modE"
"CPLX0-7742[c]"	"mprA"
"CPLX0-7743[c]"	"mprA"
"CPLX0-7418[c]"	"mprA"
"CPLX0-7745[c]"	"murR"
"CPLX0-8054[c]"	"murR"
"CPLX0-7746[c]"	"murR"
"MONOMER0-2261[c]"	"nagC"
"MONOMER0-2341--alpha[c]"	"nanR"
"MONOMER0-2341--beta[c]"	"nanR"
"MONOMER0-46[c]"	"nhaR"
"CPLX0-8061[c]"	"nrdR"
"CPLX0-7680[c]"	"zur"
"MONOMER0-2421[c]"	"prpR"
"CPLX0-7618[c]"	"rcnR"
"CPLX0-7619[c]"	"rcnR"
"MONOMER-47[c]"	"rhaR"
"CPLX-124[c]"	"rhaS"
"CPLX0-7651[c]"	"rutR"
"CPLX0-8058[c]"	"rutR"
"CPLX0-8056[c]"	"treR"
"CPLX-125[c]"	"trpR"
"MONOMER0-2101[c]"	"uxuR"
"CPLX0-7681[c]"	"xapR"
"MONOMER0-165[c]"	"xylR"
